epoch_train_time,epoch_frozen,epoch_val_time,train_thpt,val_thpt,batch_size,num_workers,model,power_mode,powermizer,hdmi,expo,fan3,accel
70.7213594913483,True,3.57292675971985,295.582553140219,160.372724809206,32,8,resnet50,balanced,auto,gpu,True,100,T4x2
72.512939453125,True,2.41491317749023,288.279583721925,237.275611123836,32,8,resnet50,balanced,auto,gpu,True,100,T4x2
248.653280496597,False,2.40033459663391,84.0688687406481,238.716719245534,32,8,resnet50,balanced,auto,gpu,True,100,T4x2
233.172688007355,False,2.52482080459595,89.6502938600624,226.946799137968,32,8,resnet50,balanced,auto,gpu,True,100,T4x2
45.8568871021271,True,2.42357134819031,455.853009678678,236.427947717678,32,8,resnet50,balanced,auto,gpu,True,100,P100
44.1445508003235,True,1.77257895469666,473.535229626729,323.257815107062,32,8,resnet50,balanced,auto,gpu,True,100,P100
156.496346235275,False,1.81065845489502,133.575003524831,316.459461722847,32,8,resnet50,balanced,auto,gpu,True,100,P100
142.909212827683,False,1.8139660358429,146.274684370459,315.882430364108,32,8,resnet50,balanced,auto,gpu,True,100,P100
105.472463846207,True,4.14608454704285,198.193909933506,138.202680986978,32,8,resnet50,balanced,auto,gpu,True,100,T4
99.6743533611298,True,3.75046157836914,209.72295575636,152.781194534771,32,8,resnet50,balanced,auto,gpu,True,100,T4
252.82107758522,False,3.09136128425598,82.682979598304,185.355235869142,32,8,resnet50,balanced,auto,gpu,True,100,T4
236.433536291122,False,2.99541664123535,88.4138533302684,191.292253675832,32,8,resnet50,balanced,auto,gpu,True,100,T4
